text	time	political_position
"Good.

Kicked to the curb and where all these MAGAfockers belong."	2026-06-09 03:05	
"Good job LA, an unqualified MAGAt running a campaign fuelled with hate and anger would have destroyed you if he had won! 

Shame on that 25% that did vote for the clown."	2026-06-09 03:12	
Thank God!	2026-06-09 03:15	
Pratt by name, Pratt by nature as the UK would say	2026-06-09 03:26	
Later dink. Enjoy leaving town.	2026-06-09 03:53	
Byeeeeeee! Don't move to Texas, they will abhor your ass.	2026-06-09 03:58	
Haha	2026-06-09 03:59	
Good. He's a piece of shit.	2026-06-09 04:00	
No one wants a reality star in politics. The 🍊💩🤡 in the WH is a shining example of why we must keep reality stars out of politics.	2026-06-09 04:02	
💙	2026-06-09 04:05	
Woohoo 👏🏽👏🏽👏🏽	2026-06-09 04:06	
AMF!	2026-06-09 04:08	
Good! Forget that disgusting, white privilege, out of touch racist. Pratt better keep his word & start packing.	2026-06-09 04:09	
Pack your bags, asshole!	2026-06-09 04:09	
Piss off Pratt!	2026-06-09 04:15	
Nobody likes a Sandy Hook denying asshole	2026-06-09 04:18	
Pratt got the Trump vote from 2024. If he had gotten past Raman he would have lost bigly in November.	2026-06-09 04:20	
Why are Republicans out of California surprised that a Trump aligned Republican did not advance to the General Election? Non CA Repubs who are closely aligned to Trump forget that LA is a Democratic City where  Republicans are outnumbered by at least 4 to 1. No Trump aligned Repub could come 2nd.	2026-06-09 04:22	
I love that for him.	2026-06-09 04:23	
pratt couldn't even get a job as a waiter like every other unemployed actor in LA	2026-06-09 04:23	
He blames Karen Bass for having his eyebrows burned off in the fire?	2026-06-09 04:24	
Wonderful	2026-06-09 04:31	
Not a pratfall it’s a prattfail!!😆😆😆 When is he leaving??	2026-06-09 04:32	
Thank God. Don’t expect a concession, or even acknowledgment of losing. That fucking filthy thing set the bro loser playbook.	2026-06-09 04:32	
So.... when is he moving?	2026-06-09 04:33	
👏👏👏	2026-06-09 04:34	
Now that the vote is over can they get their shit together in elections. Whole states and countries have elections in a day.  LA should be able to figure it out.	2026-06-09 04:37	
"Pratt should move out from Los Angeles as he promised ! 

One less self-serve dumber is better for Los Angeles! 🤣"	2026-06-09 04:41	
Good, now I won't have to look at that frying pan face of his!	2026-06-09 04:46	
The least prescient of the headlines a respectable publication might choose to highlight about this election. Fuck you, Forbes.	2026-06-09 04:52	
Can we call this a Pratt fall?	2026-06-09 04:52	
has he started packing for Montana yet?	2026-06-09 04:58	
If Pratt wants to win an office in the California government, he can fuck off to Kern county and run for mayor of Bakersfield.	2026-06-09 04:58	
  I remember when someone like that was lucky to even approach five percent.	2026-06-09 05:11	
🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻	2026-06-09 05:22	
"They're still surprisingly many who are willing to give their vote to someone believing in *crystals have magic energy*

Stupid? No. Very stupid? Definitely."	2026-06-09 05:38	
Bahahaha	2026-06-09 05:44	
Upon reading this, I started doing this uncontrollably.	2026-06-09 05:49	
Now the only Pratt I have to worry about is the one that seems to work for Amazon	2026-06-09 05:56	
That’s good. Let him go back to being completely useless. Just like he would’ve been in his job that he fortunately did not get as mayor.	2026-06-09 06:00	
time to lol and frolic la!	2026-06-09 06:06	
"So, where will he move since he said he’d leave if he didn’t win?
He finally got more press than Heidi and she could be realizing he’s even more of a jerk in midlife"	2026-06-09 06:09	
Thank god! NO more reality people in politics!	2026-06-09 06:11	
Good now hopefully he will move like he promised.	2026-06-09 06:12	
California blondes are not as stupid as the pretend to be!	2026-06-09 06:16	
Now let’s make sure we get him leaving our state as fast a humanly possible. Pratt should really just go off and live his white Christian nationalist life in South Africa, because he has now been told to pound sand by us Californians.	2026-06-09 06:33	
Byyyyye	2026-06-09 06:40	
"Back to lousy amateur TV Reality Shows, I guess? 

Wish the same had happened to #Trump 🤠 #MadHatters"	2026-06-09 06:58	
Great news	2026-06-09 07:00	
Adios MF !	2026-06-09 07:01	
Who's stupid enough to vote for this douch? Oh, never mind. Fokken MAGA.	2026-06-09 07:12	
Hit the road Pratt, and don’t you come back no more! 😊😊🤪	2026-06-09 07:15	
Good. The man is freaky.	2026-06-09 07:47	
Boo hoo hoo and a Ha Ha Ha Ha	2026-06-09 07:48	
That’s still a lot of votes 😬	2026-06-09 07:58	
He shouldn't have gotten that many votes. He is a trump mini-me	2026-06-09 08:15	
Excellent, fuck his MTV	2026-06-09 08:24	
 in a city where less than a fifth of the population is republican, the completely unqualified republican candidate lost . I for one am shocked.	2026-06-09 08:39	
He should not have been able to get that many votes...He has no experience in government at any level.  Sad what people will fall for and vote for.	2026-06-09 09:09	
