text	time	political_position
How about the billionaires paying their taxes	2026-06-09 18:41	
Not to mention, under current US law, billionaires collect Social Security.  That money should be used for seniors who desperately need it.	2026-06-09 18:46	
Perfect timing. 🙄	2026-06-09 18:53	
"So maybe someone should tell the orange demon that we need:
✅More immigrants
To add to our labor force 
And to increase birthrates
✅Childcare
✅Affordable healthcare 
✅Affordable housing
✅Affordable groceries and gas
✅Strong public schools 
To help solve this problem."	2026-06-09 18:53	
The Nazi US is already insolvent 😂 loser country with a pedophile president 🤣	2026-06-09 18:55	
And mismanagement of the funds people have been paying all their lives.	2026-06-09 18:59	
Why is o.k. for billionaires not to ever give us cost of living pay increases, as we fund their tax cuts to make them exponentially richer?😕enhnmf	2026-06-09 19:06	
And they're planning to cut it after the midterms and take the rest of the money for themselves. Republicans suck.	2026-06-09 19:08	
We should have   bsky.app/profile/off-...	2026-06-09 19:11	
Of course	2026-06-09 19:13	
Tax the rich!	2026-06-09 19:17	
"""fewer immigrants working in the U.S. have all pushed up a predicted depletion date""

Ok so lets remove the cap on Social Security and Medicare (FICA) taxes that the millionaire and billionaire enjoy!"	2026-06-09 19:20	
Tax cuts for seniors? When did that happen i’m still waiting for mine	2026-06-09 19:22	
Tax the fucking 1%	2026-06-09 19:22	
this is such a fake crisis	2026-06-09 19:25	
90% billionaire tax would work	2026-06-09 19:27	
"Maybe stop giving companies like GM an effective tax rate of $0, year after year?

And you don’t want to know how well some companies are doing with this. Check out Tesla‘s income tax for the last three years.

Let’s try eating the rich"	2026-06-09 19:28	
"The promised ""no taxes on SS"" was broken.

SS tax should be changed so that the maximum amount deducted per year is NOT the same whether one earns low 6 figures or a trillion.

Imagine the increase in the depletion date that would occur if they contributed based on actual income, not this maximum."	2026-06-09 19:29	
"Forbes, the SS fund is payroll taxes seniors paid into the account. That rate hasn't changed. It isn't funded by income taxes.

Cutting income taxes has no impact on the fund. It is dishonest, and revealing, for you to make that lie.

Driving away workers and refusing to raise the minimum wage have."	2026-06-09 19:30	
Plus the fact the GQP has most likely been dipping their nasty hands covertly into the fund for years!	2026-06-09 19:32	
Just remove the cap.	2026-06-09 19:34	
Increasing the wage limit solves it.	2026-06-09 19:39	
But we’ll have a golden ballroom	2026-06-09 19:40	
Yet no one demands action by our government! There are some easy fixes.	2026-06-09 19:41	
Tax the billionaires and trillionaires as they should be.	2026-06-09 19:45	
Instead of funding wars, we could fund this.	2026-06-09 19:47	
"Forbes is on the front line of Social Security privatization and handing it to Wall Street. They've been publishing a BS ,""The Sky is Falling"" Social Security article once a month for decades. The fund they"	2026-06-09 19:48	
"Trump and the republican party did this. Grow a fucking spine, Forbes. Pick a goddamn side and quite playing in the middle so you can ""pick the winning side"". Trump and republicans did this. Factually. Put that in your goddamn headline."	2026-06-09 19:56	
"#SocialSecurity
#immigrants

""In 2022, the undocumented contributed $26-27B in payroll taxes into SS. Bk they can't claim them, funds remain in the system, hence the solvency of SS.""

SS Admin: “unauthorized workers in the US, on average, a + effect on the fin status of SS.”

tinyurl.com/57jt8t98"	2026-06-09 20:00	
This is such a feckin simple problem to solve. The wealthy take more out of the system, so they should continue to pay more in. RAISE THE FECKIN INCOME WITHHOLDING LIMIT, #CONGRESS.	2026-06-09 20:05	
All easily addressed by removing the income cap on Social security deductions	2026-06-09 20:24	
Another excuse for the perverts to yammer about one of their favorite topics: Pregnant girls and how very important it is that there be more of them.	2026-06-09 20:30	
maybe if repubs. the money they borrowed from the fund and never returned. or the rich paid there fair share. no tax cuts for seniors btw. that was another lie.	2026-06-09 20:40	
Sounds like we will implement UBI after all.	2026-06-09 20:40	
If we had passively invested the SS Trust Fund in a diversified index fund there would be something like $8 trillion in that account today and the date of insolvency could be pushed into the 2050s	2026-06-09 20:46	
There are many ways to fix that. Make the wealthy pay their fair share.	2026-06-09 20:51	
"SCRAP THE CAP

EASIER TO PASS IN CONGRESS

THAN A DECLARATION OF WAR"	2026-06-09 20:52	
"Here's a thought, remove the tax cap and apply the correct tax rates all the way up the earnings scale.  
I also assume that you all the reserves that were supposed to be there, hate to hear if those funds were pillaged by Russell Voght and the Orange boy"	2026-06-09 20:57	
Tax the wealthy and replenish the fund!!!	2026-06-09 20:59	
How about just removing the income cap?  That will fix it.	2026-06-09 21:12	
Tax the rich and have them pay into social security.	2026-06-09 21:14	
"Hey, I've got an idea, why doesn't congress pay back the hundreds of millions THEY ""BORROWED""?? With interest!!
I don't understand why this isn't brought up everytime the republikkkans bring up cutting social security?  If they have billions & billions to let trump blow, they can pay it back to SS"	2026-06-09 21:36	
"BUT every d@mn asshole bitching about immigrants in our country say they don’t contribute and they get free SNAP and healthcare..
Seems they kept our retirement funds full while Republicans keep trying to steal more of it!"	2026-06-09 21:37	
Use the tax code to turn billionaires into millionaires and we will be fine.	2026-06-09 21:38	
Get fucked liars	2026-06-09 21:42	
"Remove the income cap for SS tax witholding. 🤷

I'd certainly pay more. Better than my mom getting benefit cuts becuase the feds looted the decades of SS surplus and replaced it with bonds/IOUs just to mask their deficit bullshit."	2026-06-09 21:56	
