text	time	political_position
"My provision to explore more cost effective and efficient ways to remove these Corolla-sized vermin from our rivers and tributaries was just signed into law.

I enjoyed brainstorming with SW WA fishermen on next steps to return our runs to their former glory."	2026-02-19 20:58	
"Your constituents have spoken loud and clear on a lot of other things too, yet your response to us is locking your doors, sending us to voicemail, and ghosting us.

You are pathetic."	2026-02-19 21:02	
Maybe you can crusade against headlights next! -Fucking no one	2026-02-19 21:03	
So remove the dams. It isn’t the sea lions. It is habitat loss. Fishermen are not scientists. You are listening to the wrong people. Unless you are simply telling them what they want to hear because you nearly lost to dipshit Joe Kent. Twice. You can’t be this dumb.	2026-02-19 21:06	
"Any thoughts on this?
bsky.app/profile/atru..."	2026-02-19 21:06	
What's more important: sea lions in the Columbia or authoritarian, white nationalist, pedophile enablers in the executive branch?	2026-02-19 21:22	
i can't get over how stupid you are. and how proud you are to display that stupidity. i hope your constitutes eat you alive at the next election. maybe even literally.	2026-02-19 21:23	
You are a useless embarrassment. Good riddance.	2026-02-19 22:05	
Killing sea lions is not a winning issue for you…and yet you persist.	2026-02-20 00:01	
Business over nature. No middle ground?	2026-02-20 00:34	
"If you genuinely believe that sea lions are a major cause of reduced salmon runs, then you should switch parties immediately.  

Have you been ignoring the data related to salmon populations and damn removal on the Olympic Peninsula?

Your contempt for science is absolutely breathtaking."	2026-02-20 03:12	
"Accepting or rejecting AIPAC funding answers so much about a candidate. 

Does this candidate demonstrate real moral clarity and courage? 

Does this candidate accept money from super PACs? 

And usually if they don’t accept AIPAC $ they can answer y or n questions void of word salad answers."	2026-02-20 15:22	
I don't know why you even post anymore. Every post and video just reminds us that we can do better. Donate and vote Brent Hennrich for WA District 3! brenthennrich.com	2026-02-20 15:46	
You’re human-sized vermin.	2026-02-20 17:53	
You should make an uncomfortable instagram video about this	2026-02-20 20:41	
Reducing by 10 percent? That sounds mildly upsetting, but hardly enought to warrant wholesale slaughter.	2026-02-20 20:41	
Is this a joke? You’re more concerned with killing a native animal species than the fascist pedophile in the White House?	2026-02-20 20:43	
so you're a vermin HOE 😂	2026-02-20 20:44	
Wait, you want to kill sea lions? Join the republicans already.	2026-02-20 20:45	
Hi Rep Perez, do you know where i could buy some reggie? I wanna buy the seediest, stemmiest mids in the pacific northwest. Can you hook me up with some Brown Grass™️?? I heard you know a great mids dealer	2026-02-20 20:45	
"🔥Abolish DHS & abolish ICE🔥

We’re attacked w/ continual gaslighting by the regime & fascists in power & by centrist Ds led by Schumer & Jeffries while we're being abducted, stalked, terrorized, brutalized, threatened, & murdered holding the line.

👉The least you can do is boycott the SOTU.👈"	2026-02-20 20:51	
Do you ever stop sucking shit Marie?	2026-02-20 20:56	
I think you'll find that it's actually us that are decimating their environment. Is anybody going to go hungry because of the sea lions? No.	2026-02-20 20:57	
"The salmon and steelhead and sealions are the residents.

You are the intruders.

You are the decimators.

Hope as many people as possible are stating the bleeding obvious to you."	2026-02-20 20:57	
"“Our”? They were there first!

Sea lions are dog mermaids."	2026-02-20 21:00	
"I would like to have a civil conversation about your statement.

Would you mind showing me evidence of any negative thing any sea lion has ever done to you?"	2026-02-20 21:05	
"No, they aren't, and no amount of crying screaming throwing up or bribing a politician will change that. 

The salmon runs are decimated because of dams. Killing sea lions will solve nothing."	2026-02-20 21:14	
Resign from Congress and go do something more useful to the country, like riding around on one of them tall bikes in some fucking crustpunk danger circus or some shit.	2026-02-20 21:18	
"@briantylercohen.bsky.social Those sea lions in the Columbia River have spoken loud and clear—fishermen in Southwest Washington are decimating the salmon and steelhead runs.

Fixed it for you."	2026-02-20 21:20	
Pretty sure it’s the fishermen decimating the fish population, you idiot.	2026-02-20 21:20	
"Thanks, Gluesey! You sure are the real deal!

jk, you're an amoral, sellout hack"	2026-02-20 21:22	
Leave them alone	2026-02-20 21:23	
Vermin? WTF is wrong with you?	2026-02-20 21:25	
Respectfully, what the absolute fuck is wrong with you?	2026-02-20 21:25	
You and anyone else willing to include themselves in that “our” are terrible people. I hope bad things continue to happen to you until you see the error in your ways and seek redemption.	2026-02-20 21:25	
This is fucking stupid.	2026-02-20 21:26	
Marie Gastropump Perez	2026-02-20 21:27	
Fuq u.	2026-02-20 21:28	
Sea Lions should have their fair share.  No?	2026-02-20 21:28	
If you thinks it’s a problem, get rid of the dams. Ps you have no more right to salmon than a sea lion does	2026-02-20 21:29	
I believe it’s their steelhead not ours	2026-02-20 21:30	
Vermin? Really?	2026-02-20 21:30	
Why haven't you retired yet	2026-02-20 21:31	
Why do you suck so bad?	2026-02-20 21:32	
Kys	2026-02-20 21:32	
ICE appeaser thinks people trust her with their money?	2026-02-20 21:33	
Leave the wildlife alone you stupid bitch	2026-02-20 21:34	
Have you no shame?	2026-02-20 21:38	
komonews.com/news/politic...	2026-02-20 21:40	
You spelled dams wrong	2026-02-20 21:40	
"You say ""decimating OUR salmon"" when this seems like a clear sea lion vs human competitiveness issue.

Instead of using the power of the state to distort the market, human fisherman need to adapt: let me recommend my new management philosophy webinar, ""Let Your Ear Flaps Fly: Fishing the Otary Way."""	2026-02-20 21:41	
You could sell them a bag of overpriced ditchweed, ma’am, i am sure they hate stems and seeds just as much as the college kids you used to rip off	2026-02-20 21:45	
there is definitely nothing more pressing going on in the united states. Great job!	2026-02-20 21:47	
What's good for the sea lion is good for the salmon. Learn conservation from people who actually know what they're doing, not from people who have a vested financial interest in hoarding a resource for themselves.	2026-02-20 21:49	
This is like that shit where you talk to farmers and they say the wolf is the enemy so you kill all the vermin wolves. Then the ecosystem goes to shit because you didn't talk to anybody else who knows shit before declaring war on wolves, because they eat a few profit making livestock.	2026-02-20 21:51	
You skunk weed freak	2026-02-20 21:52	
“Your” salmon?	2026-02-20 21:53	
"We have to target the correct sea lions 
wondermark.com/c/1062/"	2026-02-20 21:53	
You can fuck that sky high. I suggest you listen to people who know how nature actually works. Some of them are right here in the comments, ready to help.	2026-02-20 21:54	
yes and? they ve neen around ages.	2026-02-20 21:59	
Maybe ask the scientists what the problem is, Congresswoman?	2026-02-20 22:02	
They deserve the fish way more than the dipshits who voted for you.	2026-02-20 22:04	
Sea lions have every right to be there.	2026-02-20 22:05	
