text	time	political_position
The yanks love a vet. It's pretty sick.	2026-06-09 16:37	
The commander-in-chief is totally out of control and they recognize this. Amendment time.	2026-06-09 16:41	
That didn’t help Amy McGrath in Kentucky. No they’re going with Mitch McConnell‘s Lackey Andy Barr. It’s disgraceful how many Republicans are supporting the president.	2026-06-09 16:41	
BRING ON THE MATRIARCHY!!	2026-06-09 16:46	
Stop voting for military vets. ABSOLUTELY NEVER VOTE FOR WOMAN WHO SERVED.	2026-06-09 16:47	
I think they got the message. These are people who intimately understand authoritarianism and the price of freedom.  This is good. I am barely surviving but when these no AIPAC people run in my area, I give em 5 bucks.  Not donating to main democratic fund because of reasons but individuals yes.	2026-06-09 16:50	
Well, men certainly had their chance and proved they weren't capable.	2026-06-09 16:50	
Good.  Finally people are getting the message.  The Regime is burning this country to the ground and our military with it.	2026-06-09 16:52	
Great! Women are better educated? More valedictorians in high school and better graduation rates and more degrees at the college level too. Something like that I just looked it up last week.  Democrats should replay  Trump’s red face and walking off from face the nation	2026-06-09 16:52	
I wonder if they are funded by right wing groups. It's clear that women are less electable these dark days, and flooding the field with piles of dem candidates dilutes dem votes. Source: my armchair.	2026-06-09 16:56	
Best of luck to all of them. We need them in Washington to combat the sycophancy of the Republican party and their Leader!	2026-06-09 16:56	
The military under republicans is now white male so let everyone else run for federal office 🙏🏻👏🏻👏🏻👏🏻	2026-06-09 16:59	
"let me make one small point here. SO MANY people love to hate Jeff Bezos. He donated $10 MILLION to ""with Honor"" a PAC specifically designed to help VETERANS run for public office. Not everything that Bezos does is bad..."	2026-06-09 16:59	
"""The number of Democratic and women veterans running for federal office this year is at record levels ...""

And if they get elected Hegseth will accuse the voters of promoting DEI & Trump will accuse the voters of fraud."	2026-06-09 17:02	
This is why I am surprised people in the military currently aren’t rebelling against the current administration	2026-06-09 17:03	
IF they don't take AIPAC money, then I wish them successful campaigns.	2026-06-09 17:03	
"Yeah. Prove to the orange gasbag that we're more than a pretty face, a nice rack, and a baby making machine.
And we're not repeating the 50s to make Dementia Don happy."	2026-06-09 17:04	
"Trump has fond memories of raping a pre-puberty girl with Epstein. 
Most of the Republican Party worships this pedo!
2016: www.politico.com/story/2016/1...

bsky.app/profile/zack..."	2026-06-09 17:05	
"Military background qualifies you for two things - being a mechanic or being a killer. This is what is wrong with the Democratic Party and no ex military will get my vote. 

Young Progressives are what will change this nightmare but it won't happen in my lifetime."	2026-06-09 17:06	
www.nbcnews.com/politics/don...	2026-06-09 17:07	
Vote blue, vote women and veterans.	2026-06-09 17:09	
