text	time	political_position
Trump-tard strikes again.	2026-06-16 13:27	
Stable genius	2026-06-16 13:28	
So proud of our country.👊🏻🇺🇸🔥	2026-06-16 13:28	
He isn't even ignorant; he's just plain stupid. Rubio sitting listening is an accessory to this nonsense. History will judge him badly, as he is as much to blame for this as Trump. The latter doesn't realise he's stupid, but Rubio does.	2026-06-16 13:29	
Not if you have a sharpie.	2026-06-16 13:29	
Can’t fix dumb (with a b)	2026-06-16 13:33	
Hmmm, that's surprising.  I had Trump pegged as someone intimately familiar with the fine cultural and geographical features of the many peoples of the Middle East...	2026-06-16 13:38	
I’m past being embarrassed, just pissed off at republicans okay with losing the country, bankrupting America.  Turning us into the “shithole country”!	2026-06-16 13:40	
"He’s saying he’d walk on water. He’s claiming to be Jesus. 
(Or he doesn’t know geography)"	2026-06-16 13:44	
Maybe the guy is a really strong swimmer?	2026-06-16 13:46	
The fact that Rubio can sit there like nothing is wrong with trump, make me wonder what is he doing or getting out of this...	2026-06-16 13:48	
Our ongoing national shame.	2026-06-16 13:55	
Did you catch Rubio’s reaction? Priceless.	2026-06-16 14:00	
But remember, Trump is Jesus so he can walk across the water	2026-06-16 14:36	
As we know from his shit posting, Trump believes he is Jesus Christ and therefore assumes anybody can walk on water. Suck it, libs!	2026-06-16 14:36	
Well, he thinks he’s Jesus so maybe he’s talking about walking on water?	2026-06-16 14:36	
“The people of Guitar…”	2026-06-16 14:37	
Remember rottenfk jr. claiming trump drew a map of the middle east that was perfect and all the countries Military troop levels on it?	2026-06-16 14:38	
Trump is the dumbest man elected to any office, ever, at any point in history.  Just a staggeringly stupid man.	2026-06-16 14:39	
He meant Greenland	2026-06-16 14:39	
"Dunno who the other guy is, but he's just looking at Trump like he's a silly puppy.

What a joke."	2026-06-16 14:39	
[Insert Curb Your Enthusiasm End Credits]	2026-06-16 14:40	
We know he’s ignorant. But so what? What are the consequences for HIM?	2026-06-16 14:40	
Marco always looks in Trumps direction when Trump says stupid shit.	2026-06-16 14:40	
RFK, Jr assured us that Trump could draw a perfect map of the Middle East using his large, uh, brain.	2026-06-16 14:41	
What it’s like when your political party refuses to acknowledge you’re in cognitive decline.	2026-06-16 14:42	
"""they are separated by the Persian Gulf....""

Tbh honest he has always ignored the blue bits on maps...."	2026-06-16 14:42	
"Donald Trump is mentally & physical ill, 

what do you expect?

*"	2026-06-16 14:43	
It's kind of crazy when you hope Trump falls to sleep before he humiliates our once great nation even more.	2026-06-16 14:44	
A global embarrassment.	2026-06-16 14:44	
Well of course the Don can.	2026-06-16 14:44	
Even if Qataris coukd walk on water, I think it would take at least 45 minutes to walk there!	2026-06-16 14:44	
The stupidity that this man spews out of his pie hole on a daily basis makes me want to vomit yet all his little minions sit there and yes him along is even more disgusting. They're ALL committing career suicide because history will remember that they all sat  back and did nothing!!	2026-06-16 14:45	
I guess he meant walk across the water	2026-06-16 14:47	
If you can walk on water!	2026-06-16 14:47	
Every fuckin time he opens his mouth, just confirms he intellect is measured in the negative	2026-06-16 14:48	
In his defense, he's quite accustomed to walking right across the border from Mar-A-Lago to Russia.	2026-06-16 14:48	
Qatar/Guitar … geography/mammography … he just prattles on inanely. What a disgrace to the human race.	2026-06-16 14:50	
"""How to embarrass myself 101"" ... presented by the elected President of the USA daily in endless versions 🤦"	2026-06-16 14:50	
He doesn’t know anything about anything	2026-06-16 14:51	
Trump's the worst of America: shallow, materialistic, ignorant, grandiose.	2026-06-16 14:51	
He's really THAT stupid.	2026-06-16 14:52	
"You can almost see the mind behind the eyes of the #G7 leaders. ""potus is nuts."""	2026-06-16 14:52	
Nobody has done more, in such a short time, to erode US credibility, legitimacy and moral standing than this toxic stew of ignorance, hubris, malevolence, greed and incompetence. The cost will be profound and comprehensive.	2026-06-16 14:53	
"Get a new hat,
“Making America Look Dumber Day By Day”.

Idiot."	2026-06-16 14:54	
Jesus could do it.	2026-06-16 14:55	
Not just an asshole, but an ignorant asshole	2026-06-16 14:56	
"Qatar gives Trump a plane after he asked for it in exchange of?

Saudis give Kushner more $$$ bilions

In exchange for what?"	2026-06-16 14:56	
Walk right across the border ? Yes he can.	2026-06-16 14:56	
He is an absolute moron. Congratulations America, you played yourselves. A nation paralyzed from the neck up. The American majority chose this unacceptable individual because he is the epitome of the American Dream. Well, wake up people.  He's always been a nightmare, suckers.	2026-06-16 14:57	
🤦🏻‍♂️	2026-06-16 14:57	
"Trump is transactional

Everything hes done is in exchange for himself and his family to swoop in behibd hin and collect deals

Non of this is for America who bear the costs of his greediness and emoluments clause"	2026-06-16 14:57	
Dumbest human alive.	2026-06-16 14:58	
Walking on water solves many problems.	2026-06-16 14:58	
Walking on water ... I thought that was a different story	2026-06-16 14:59	
clueless clown!	2026-06-16 14:59	
He talks about your favorite President. He could go there	2026-06-16 15:00	
Also, Iraq and Oman.	2026-06-16 15:00	
